2026-06-10 22:24:37 | INFO     | vigilant-detect.retraining | Retraining triggered.
2026-06-10 22:24:37 | WARNING  | vigilant-detect.retraining | Retraining aborted: only 5 ATO-labelled events (minimum 1000)
2026-06-10 22:24:48 | INFO     | vigilant-detect.retraining | Retraining triggered.
2026-06-10 22:24:48 | WARNING  | vigilant-detect.retraining | Retraining aborted: only 5 ATO-labelled events (minimum 1000)
2026-06-10 22:25:07 | INFO     | vigilant-detect.retraining | Retraining triggered.
2026-06-10 22:25:07 | WARNING  | vigilant-detect.retraining | Retraining aborted: only 5 ATO-labelled events (minimum 1000)
2026-06-10 23:10:07 | INFO     | vigilant-detect.trainer | Splitting dataset (70/5/5/5/15) ...
2026-06-10 23:10:07 | INFO     | vigilant-detect.trainer | Split sizes: train=448378, val_stop=32027, val_calibration=32027, threshold_set=32027, test=96081
2026-06-10 23:10:07 | INFO     | vigilant-detect.trainer | Computing offline features per split ...
2026-06-10 23:10:09 | INFO     | vigilant-detect.trainer | Phase 1: XGBoost training (scale_pos_weight=27.46) ...
2026-06-10 23:10:09 | INFO     | vigilant-detect.trainer | Phase 2: Isotonic calibration on val_calibration ...
2026-06-10 23:10:09 | INFO     | vigilant-detect.trainer | ECE on val_calibration: 0.0000
2026-06-10 23:10:09 | INFO     | vigilant-detect.trainer | Phase 3: Threshold tuning on threshold_set ...
2026-06-10 23:10:09 | INFO     | vigilant-detect.trainer | Tuned thresholds: challenge=0.028, block=0.027, geo=500.0km, dormancy=720.0h
2026-06-10 23:10:09 | INFO     | vigilant-detect.trainer | Phase 4: Final evaluation on test set (3-seed gate) ...
2026-06-10 23:10:11 | INFO     | vigilant-detect.trainer | Final PR-AUC on test: 0.0467
2026-06-10 23:10:13 | WARNING  | vigilant-detect.trainer | XGBoost PR-AUC (0.0467) is not sufficiently better than LR baseline (0.0489). Check feature pipeline.
2026-06-10 23:10:13 | INFO     | vigilant-detect.registry | Saved model artifacts to models/model_20260610_201013_5e3d9ae5
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | Splitting dataset (70/5/5/5/15) ...
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | Split sizes: train=70000, val_stop=5000, val_calibration=5000, threshold_set=5000, test=15000
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | Computing offline features per split ...
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | Phase 1: XGBoost training (scale_pos_weight=19.10) ...
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | Phase 2: Isotonic calibration on val_calibration ...
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | ECE on val_calibration: 0.0000
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | Phase 3: Threshold tuning on threshold_set ...
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | Tuned thresholds: challenge=0.042, block=0.042, geo=500.0km, dormancy=720.0h
2026-06-10 23:14:59 | INFO     | vigilant-detect.trainer | Phase 4: Final evaluation on test set (3-seed gate) ...
2026-06-10 23:15:00 | INFO     | vigilant-detect.trainer | Final PR-AUC on test: 0.0482
2026-06-10 23:15:00 | WARNING  | vigilant-detect.trainer | XGBoost PR-AUC (0.0482) is not sufficiently better than LR baseline (0.0514). Check feature pipeline.
2026-06-10 23:15:00 | INFO     | vigilant-detect.registry | Saved model artifacts to models/model_20260610_201500_dc506331
2026-06-10 23:26:04 | INFO     | vigilant-detect.retraining | Retraining triggered.
2026-06-10 23:26:04 | WARNING  | vigilant-detect.retraining | Retraining aborted: only 5 ATO-labelled events (minimum 1000)
2026-06-10 23:32:22 | INFO     | vigilant-detect.retraining | Retraining triggered.
2026-06-10 23:32:22 | WARNING  | vigilant-detect.retraining | Retraining aborted: only 5 ATO-labelled events (minimum 1000)
2026-06-10 23:32:45 | INFO     | vigilant-detect.trainer | Computing training features on full dataset ...
2026-06-10 23:32:45 | INFO     | vigilant-detect.trainer | Splitting pre-featurized dataset (70/5/5/5/15) ...
2026-06-10 23:32:45 | INFO     | vigilant-detect.trainer | Split sizes: train=448378, val_stop=32027, val_calibration=32027, threshold_set=32027, test=96081
2026-06-10 23:32:47 | INFO     | vigilant-detect.trainer | Phase 1: XGBoost training (scale_pos_weight=27.46) ...
2026-06-10 23:32:48 | INFO     | vigilant-detect.trainer | Phase 2: Isotonic calibration on val_calibration ...
2026-06-10 23:32:48 | INFO     | vigilant-detect.trainer | ECE on val_calibration: 0.0000
2026-06-10 23:32:48 | INFO     | vigilant-detect.trainer | Phase 3: Threshold tuning on threshold_set ...
2026-06-10 23:32:48 | INFO     | vigilant-detect.trainer | Tuned thresholds: challenge=0.125, block=0.015, geo=1000.0km, dormancy=168.0h
2026-06-10 23:32:48 | INFO     | vigilant-detect.trainer | Phase 4: Final evaluation on test set (3-seed gate) ...
2026-06-10 23:32:52 | INFO     | vigilant-detect.trainer | Final PR-AUC on test: 0.1082
2026-06-10 23:32:52 | WARNING  | vigilant-detect.trainer | XGBoost PR-AUC (0.1082) is not sufficiently better than LR baseline (0.1091). Check feature pipeline.
2026-06-10 23:32:52 | INFO     | vigilant-detect.registry | Saved model artifacts to models/model_20260610_203252_4d567296
2026-06-10 23:33:26 | INFO     | vigilant-detect.trainer | Computing training features on full dataset ...
2026-06-10 23:33:26 | INFO     | vigilant-detect.trainer | Splitting pre-featurized dataset (70/5/5/5/15) ...
2026-06-10 23:33:26 | INFO     | vigilant-detect.trainer | Split sizes: train=140000, val_stop=10000, val_calibration=10000, threshold_set=10000, test=30000
2026-06-10 23:33:27 | INFO     | vigilant-detect.trainer | Phase 1: XGBoost training (scale_pos_weight=19.40) ...
2026-06-10 23:33:27 | INFO     | vigilant-detect.trainer | Phase 2: Isotonic calibration on val_calibration ...
2026-06-10 23:33:27 | INFO     | vigilant-detect.trainer | ECE on val_calibration: 0.0000
2026-06-10 23:33:27 | INFO     | vigilant-detect.trainer | Phase 3: Threshold tuning on threshold_set ...
2026-06-10 23:33:27 | INFO     | vigilant-detect.trainer | Tuned thresholds: challenge=0.388, block=0.023, geo=1000.0km, dormancy=168.0h
